index  ,sic3 ,yr ,ldsal ,lemp,ldnpt,ldrst ,ldrnd ,ldinv
82,291,78,9.917028,3.850382,9.829513,6.472749,4.880377,7.864435
82,291,83,9.77891,4.038373,10.20768,6.738052,5.217525,8.001496
82,291,88,9.994242,3.978241,10.03068,7.05903,5.571401,8.187662
83,365,73,5.618628,2.70805,5.388312,5.660993,3.699049,3.507649
83,365,78,5.917827,2.484907,4.739114,5.547476,3.573174,3.107527
84,332,73,6.943088,2.415914,5.708577,3.916012,2.125178,3.329098
85,331,73,8.177497,3.264881,8.145258,4.204823,2.587801,5.721174
86,367,78,4.339518,0.4593217,3.267467,3.236388,1.728604,2.95848
86,367,83,5.372622,1.297736,4.388504,4.034971,3.091911,3.111229
86,367,88,6.077597,1.676536,5.201084,5.180378,4.068589,3.935956
87,382,78,3.981844,-0.1923719,0.6331753,2.353068,1.546516,0.3321987
87,382,83,4.893957,0.6418539,3.584169,3.624768,2.831624,2.556541
87,382,88,4.743968,0.3001046,3.937342,4.431695,2.835031,2.04026
88,381,83,2.908449,-0.9915532,2.287105,1.021394,-0.0158733,-0.0511326
88,381,88,3.161372,-1.032825,2.302099,1.802131,0.6897599,-0.8531516
89,322,73,6.936594,2.734367,5.975834,4.285235,2.423974,3.804012
90,204,73,6.89012,2.995732,5.534448,3.719362,2.000014,3.094982
90,204,78,6.930707,2.766319,5.27585,3.792833,1.695164,3.35048
90,204,83,7.189768,2.797281,5.88003,3.743836,1.940108,3.57375
91,349,78,3.857883,-0.5798185,2.87567,2.485314,0.6589629,1.291245
92,366,73,2.779007,-0.86275,2.848998,1.713248,0.3357683,2.244083
92,366,78,3.840389,-0.4004775,3.434324,2.312242,1.022569,1.732316
92,366,83,3.972087,-0.4780358,3.626279,3.374515,1.404132,2.280782
93,382,88,3.091511,-1.832582,0.8078993,2.070083,0.8592346,0.215331
94,366,83,1.525031,-2.333044,-0.1441969,-0.0723409,-1.779462,-3.040462
94,366,88,1.41591,-2.333044,-0.7348613,0.0122341,-1.70041,-3.844328
95,366,83,5.198161,0.8064759,3.697943,3.66556,2.544582,2.154857
95,366,88,5.539076,0.9854435,3.894794,4.188427,2.613828,2.525417
96,382,88,2.726586,-2.079442,1.505589,1.381464,0.2694001,1.367143
97,386,78,3.841907,-0.4155154,2.379822,1.509328,-0.4892031,0.1260407
98,356,73,5.387848,0.6744739,3.684403,3.060698,1.311523,2.240393
99,394,83,5.339881,0.6931472,3.710789,1.5205,0.5357103,1.240333
99,394,88,5.697649,1.163151,3.742614,2.28056,0.754056,2.792811
100,357,88,4.666828,-0.0512933,3.557458,3.246659,2.372544,1.744792
101,357,83,6.183828,1.535791,3.772188,4.626119,4.212669,3.981116
101,357,88,8.461274,2.379546,4.877363,6.175385,5.573281,4.942205
102,357,88,6.631936,1.492005,4.853898,5.079456,4.308715,3.925435
103,382,88,4.852091,-0.0418642,2.555929,3.294877,2.717985,2.04995
104,357,73,-0.8573495,-2.577022,1.068383,-0.2982799,-1.506543,-1.5103
104,357,78,2.289505,-0.2665731,2.171354,0.9780858,0.3481138,1.651811
105,367,73,4.20469,1.275363,3.235999,2.709712,1.521979,2.413341
105,367,78,4.60562,1.172482,3.395109,3.167984,1.500428,2.390951
105,367,83,4.627429,1.370165,3.657544,3.293026,1.963748,2.754755
105,367,88,5.672883,2.169054,4.383072,4.271594,3.086156,4.044978
106,355,83,4.804979,0.1222176,3.044329,3.923795,2.917132,2.07447
106,355,88,5.855649,0.5681507,3.837442,4.850172,3.737831,2.959127
107,359,78,5.528041,1.064711,3.045446,3.555566,0.7535789,1.754507
107,359,83,4.974483,0.6151857,3.013078,3.196935,1.253566,0.8456979
107,359,88,5.155688,0.463734,2.857744,3.288183,1.508255,2.121469
108,207,73,6.85446,1.23256,5.589625,3.44712,0.2852161,3.666801
108,207,78,7.413291,1.617803,6.236031,3.00768,0.9810341,4.428023
108,207,83,8.116238,2.159869,7.283592,3.027871,1.613255,5.121162
108,207,88,8.605466,2.197891,7.43448,3.367358,1.740551,5.597092
109,357,88,4.959028,0.3307415,2.388299,2.998652,1.997162,1.753252
110,331,83,8.343782,3.872679,8.352067,5.416007,3.484954,5.022434
110,331,88,7.997232,2.970414,7.58409,5.276781,3.087964,4.761542
111,301,73,6.188344,1.722767,5.554872,4.345852,2.913368,3.551584
111,301,78,6.199684,1.751805,5.570171,4.362892,2.193758,2.911133
111,301,83,6.33567,1.59473,5.66587,4.214965,2.537137,3.196324
112,354,73,4.802027,0.6805684,3.549018,2.229771,0.6043429,1.322913
112,354,78,4.640285,0.6312718,3.438359,2.34599,0.484246,1.367461
112,354,83,4.508119,0.4523487,3.488864,2.323284,0.4512691,0.741792
113,396,73,4.221693,0.4054651,3.626951,0.0630673,-1.391233,2.096357
113,396,78,5.384361,0.8544153,4.02295,0.6231204,-0.5385283,1.919334
113,396,83,3.930459,-0.4004775,3.6467,1.373023,0.2763698,1.179984
114,352,78,3.861238,-0.5091603,2.091311,0.5936257,-0.2757319,-0.0303054
114,352,83,2.934343,-1.187443,1.701692,0.572732,-1.096365,-2.573121
115,371,73,6.337219,2.090382,4.903251,3.950867,2.392056,3.895611
116,333,83,7.439373,2.312536,7.67779,4.039292,1.985143,4.672743
117,291,73,8.765765,3.262816,7.659633,4.757644,2.971046,6.079837
117,291,78,8.853772,3.465736,8.066,4.75158,2.580217,6.160382
117,291,83,8.520632,3.366468,8.059708,4.822373,2.914024,5.797525
117,291,88,9.00007,3.627004,7.891228,4.758679,2.760682,5.810605
118,357,83,1.884896,-1.469676,2.008712,0.2324767,-0.6183967,-1.103712
118,357,88,3.211947,-1.537117,1.822413,1.491557,0.4330991,0.5977883
119,371,78,3.371209,-1.099613,1.689435,0.0382429,-1.585145,-1.647465
119,371,83,3.12228,-1.272966,1.935979,0.0602726,-1.841337,-2.883276
119,371,88,3.673176,-0.8675006,2.198737,0.3891787,-1.122074,-0.59149
120,331,78,5.897109,1.308333,4.689868,3.051495,1.672951,2.402633
121,376,83,4.99166,0.6996261,3.676957,2.891555,2.291159,2.589148
122,291,73,9.428481,3.269569,9.258966,5.946563,4.054138,7.07103
122,291,78,9.721017,3.925926,9.796442,6.013095,4.662511,7.508559
122,291,83,9.684566,3.906005,10.16119,6.650881,5.0593,8.135468
122,291,88,9.811977,3.303217,9.800742,6.661757,4.701797,8.075274
123,367,88,5.764032,1.280934,4.939437,4.565874,2.538211,2.843857
124,382,83,3.340564,-1.075873,2.429841,0.974513,-0.1489151,-0.5879902
124,382,88,4.288865,-0.4231201,2.259755,1.790087,0.7880182,1.262444
125,367,88,2.570722,-1.469676,1.703686,0.7955381,0.4236562,0.1679516
126,349,73,5.046956,0.2821669,3.475843,3.537113,0.0267331,1.574081
126,349,78,5.097908,0.5306283,3.648834,2.937446,0.0370115,0.6527914
126,349,83,5.146803,0.5766134,3.650513,3.565959,2.36895,1.190247
127,382,78,3.959838,-1.283738,2.261141,1.666137,-0.1948589,1.859558
127,382,88,3.414535,-1.439695,0.9401289,1.795301,0.2934625,-0.1680273
128,367,83,4.788819,0.8020016,3.387438,3.58781,2.592093,2.503385
128,367,88,4.809226,0.9384435,4.26087,4.571175,2.953198,2.797329
129,284,73,7.970227,3.288402,6.403484,5.129569,3.81587,4.468472
129,284,78,8.129082,3.433987,6.411546,5.221007,3.545747,4.715175
129,284,83,8.074559,3.65584,7.021013,5.475733,4.184974,4.871518
129,284,88,7.9879,3.346389,6.593279,5.552952,3.32944,3.894358
130,342,73,5.958485,1.148988,4.513556,0.5881972,-0.0982702,2.204641
131,366,73,3.965735,-0.0812101,1.778856,1.021698,-0.8078561,-0.0175224
131,366,78,4.153265,0.0953102,2.148808,1.353733,-0.2543636,0.5075366
131,366,83,5.068295,0.6931472,3.284393,2.552006,1.885296,2.165414
131,366,88,5.137471,0.6931472,3.562438,3.596191,2.102837,1.226575
132,347,73,4.864628,0.6996261,3.899338,2.572229,1.489189,2.784
133,369,83,0.5871805,-3.146555,-1.150816,0.8555252,-0.6523702,-3.061968
134,382,73,4.437418,0.2530906,3.405324,3.262788,1.395489,1.470718
134,382,78,4.470879,0.283674,3.381756,3.075529,0.8658599,1.145268
134,382,83,3.899477,-0.040822,3.415172,2.802966,-0.2505113,0.7281333
134,382,88,4.218288,-0.1461825,3.035075,2.785788,1.089554,1.038474
135,382,73,3.361811,-0.7571525,2.399473,2.41991,0.4120117,-0.3018431
135,382,78,3.851114,-0.4557063,2.148459,2.439375,0.9090515,-0.7452264
135,382,83,3.825761,-0.3092462,2.204545,2.710987,0.9347912,0.297048
136,353,73,6.206015,1.704748,4.752263,4.010303,2.441704,3.978498
136,353,78,7.224236,2.772776,6.142859,4.230202,3.069501,5.459503
136,353,88,7.712012,3.067681,6.828137,5.209151,3.226192,4.142517
137,353,73,6.206015,1.704748,4.752263,4.010303,2.441704,3.978498
137,353,78,7.224236,2.772776,6.142859,4.230202,3.069501,5.459503
138,362,78,5.209047,0.9042181,3.118742,2.697355,1.187443,1.828633
138,362,83,5.045966,0.8415672,3.773427,2.97875,1.478635,2.248128
138,362,88,5.462359,0.9794533,3.833998,3.351337,1.93968,2.791678
139,393,88,4.94319,0.8754688,2.438364,1.305551,-0.2828628,0.6744917
140,355,88,4.521071,-0.4845083,1.458298,2.544302,0.6106054,-0.1430261
141,341,78,6.596279,2.128232,5.565184,4.122115,2.256284,3.940045
141,341,83,6.87284,2.197225,6.008623,4.129065,2.682607,3.614459
141,341,88,6.972175,1.960095,6.038864,4.460131,2.538211,4.583537
142,384,88,2.646943,-1.406497,0.227027,0.8623721,-0.8240595,-0.5654695
143,243,88,3.650793,-0.0779615,2.585465,0.2894631,-1.228424,1.283956
144,357,83,2.827083,-0.1779312,2.417674,2.606651,1.539078,1.327909
144,357,88,4.966022,0.6678294,2.665592,3.537488,2.155575,1.749707
145,301,73,5.295649,0.4140944,3.557544,2.866213,1.179791,2.370221
145,301,78,5.778766,0.9198843,4.228858,2.898351,0.8336216,2.462264
145,301,83,5.663038,0.6178847,4.109489,2.918372,1.431651,2.06973
145,301,88,6.159114,0.838113,4.268717,3.391981,2.194968,2.985023
146,372,73,6.777316,2.287674,5.293567,3.746278,1.993325,3.300787
146,372,78,7.000755,2.650774,5.478958,3.899281,2.646059,3.624938
146,372,83,6.33455,2.028148,5.367254,4.263037,2.36895,3.179028
147,353,73,5.585301,0.8020016,3.953484,3.172726,1.237874,1.792999
147,353,78,5.605746,1.37927,4.181093,3.105985,1.45556,1.953768
147,353,83,4.759421,0.6103089,3.927087,3.123933,0.7225203,0.1313674
148,384,73,5.471784,1.109882,4.015869,2.635801,1.310859,2.638525
148,384,78,5.677039,1.308333,4.225744,3.018844,1.626021,2.581799
148,384,83,6.114484,1.824549,4.618339,3.651045,2.577247,3.178647
148,384,88,6.563066,2.110213,4.792868,4.441259,3.494896,3.245749
149,381,73,3.073351,-0.944176,1.288624,2.722219,0.7529022,0.4079434
149,381,78,2.965314,-1.067114,0.8309603,2.372324,-0.4320448,-0.4960106
150,283,88,3.972987,-1.049822,2.954272,2.78106,0.6205246,1.902166
151,252,78,4.723769,0.3569749,3.210362,2.390396,0.5160577,1.770388
151,252,83,5.214566,0.7875478,3.952964,2.683512,1.331977,1.918059
151,252,88,5.244057,0.731887,3.918887,3.367827,1.806148,1.627752
152,227,73,5.880995,1.656512,4.900706,3.000082,1.641433,3.181254
152,227,78,4.864626,0.5877866,3.898075,3.102098,0.6824343,0.8019345
153,381,78,1.889903,-1.532477,-0.0743377,-0.123428,-1.913649,-1.022481
153,381,83,2.857019,-0.8915981,1.889564,0.8804106,0.7911125,0.4437202
154,329,73,5.075092,0.5877866,4.309949,3.118023,1.070301,1.430584
154,329,78,4.919962,0.4054651,4.227052,2.939689,0.835756,1.685846
155,385,73,6.063242,2.379546,4.9518,4.682538,2.743062,3.653587
155,385,78,6.351242,2.388763,4.894023,4.767378,3.039592,2.594475
155,385,83,6.376454,2.104134,5.133354,4.930905,3.280683,2.742709
155,385,88,6.894431,2.302585,5.397344,5.01732,3.401133,4.608317
156,283,73,6.816918,2.912351,6.176579,4.959356,3.767709,5.11275
156,283,78,7.515648,3.465736,6.733016,5.607139,4.192879,4.90092
156,283,83,7.714124,3.527419,6.806554,6.042183,4.799725,5.277055
156,283,88,8.771222,4.158883,7.456502,6.669119,5.437869,6.184991
157,381,73,5.809819,2.00148,4.414406,5.309198,3.461184,3.413773
157,381,78,6.183463,2.282382,4.831723,5.37124,3.785642,3.841953
158,382,88,6.600278,1.986092,5.111554,5.715698,4.091119,3.833115
159,353,78,6.661462,1.850343,5.741236,4.774897,3.254306,3.220009
159,353,83,6.320734,1.465106,5.771847,4.923618,2.712465,2.720117
160,384,73,6.669047,2.797281,5.65911,5.061604,3.454279,4.132603
160,384,78,6.964688,2.933857,5.896924,5.350232,3.8091,4.130139
160,384,83,7.151359,2.949688,6.462911,5.633878,4.127697,4.528347
160,384,88,7.376922,3.025291,6.669209,5.939567,4.500936,5.599178
161,372,73,6.267529,1.952318,3.679656,4.148916,3.318208,1.966956
161,372,78,6.782666,2.341325,3.87916,4.576121,3.129417,2.064972
162,335,73,5.799102,1.404871,4.074547,2.957459,1.260474,2.978841
162,335,78,5.806515,1.386294,4.203935,3.157595,1.608454,2.117334
163,371,73,8.584141,4.473922,7.091901,6.565231,5.237385,5.616546
163,371,78,8.673312,4.330733,7.053988,6.651836,4.420222,5.463073
164,384,78,3.958427,-0.2433463,3.041176,2.511837,1.174358,1.765548
165,354,73,4.181944,-0.5008753,2.266199,1.486552,-0.4650896,1.706326
165,354,78,3.595234,-1.316768,2.523816,1.301169,-0.7751043,-0.4481545
166,331,73,9.302649,4.770685,9.120169,5.946568,4.230029,6.420367
166,331,78,9.051384,4.5486,9.085804,6.101245,4.107913,6.387432
166,331,83,8.506031,3.966511,9.001702,5.997747,3.749967,6.107777
166,331,88,8.528296,3.493473,8.819622,5.690102,3.109751,5.689084
167,289,73,5.032186,0.5596158,3.882714,3.118459,1.594549,2.466753
167,289,78,5.389279,0.6097656,4.462488,3.578486,1.999928,2.80598
167,289,83,5.604893,0.8329091,4.898804,3.806722,2.197974,3.525912
167,289,88,6.05134,1.145814,5.092251,4.191517,2.732861,3.75855
168,395,78,5.434298,0.6931472,4.515213,0.5280985,-0.8337292,3.575736
168,395,88,5.682875,0.7884574,4.451118,2.750655,1.478746,3.534623
169,356,78,5.205284,0.5068176,3.331991,1.796394,-0.0198682,1.340485
169,356,83,4.831572,0.2926696,3.288615,1.774882,-0.0856829,0.3348723
169,356,88,5.232213,0.48858,3.257348,1.841146,0.8814893,1.178356
